Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
85	-91.43747	9.945209	-81.120186	-105.77691	-99.05107	12.648402	-80.87479	-111.37168	1000.0	1000.0	339999	-8.566626	9.718098	0.6187534	-123.22281	-8.566412	9.71692	0.6217211	-123.57187	8.376797	1.149623	5504.92259645462
86	-100.040924	4.6812305	-94.65068	-106.41463	-107.779884	6.503293	-93.83571	-111.27134	1000.0	1000.0	343999	-8.845974	9.413314	0.10841274	-122.161095	-8.846132	9.413598	1.4739327	-125.19626	8.642592	1.0534085	5549.767905950546
87	-105.18115	2.1768157	-101.537415	-106.937744	-108.29771	1.9283813	-104.941475	-110.63021	1000.0	1000.0	347999	-9.192107	9.593503	-0.9351628	-126.59306	-9.192129	9.591854	-1.1671994	-126.92735	8.938936	1.0407461	5594.7724442481995
88	-104.41525	3.00656	-99.30347	-107.05403	-110.90688	0.176146	-110.63314	-111.348015	1000.0	1000.0	351999	-9.333156	9.532573	-1.3724089	-128.71939	-9.33306	9.53123	-1.2507672	-131.82866	9.099027	1.0356561	5639.761020183563
89	-105.92431	1.0217277	-104.93248	-107.59276	-106.08806	3.5658028	-95.524445	-108.75938	1000.0	1000.0	355999	-9.558219	9.75244	-1.4845831	-133.42776	-9.558707	9.751019	-1.6248368	-135.72885	9.352608	1.044455	5684.397017717361
90	-100.46103	5.9255753	-91.95005	-108.54059	-110.490295	0.23387402	-109.95239	-110.73826	1000.0	1000.0	359999	-9.697073	9.684761	-2.0948665	-136.49374	-9.69722	9.683311	-1.6765139	-141.54158	9.498196	1.0239692	5729.4023241996765
91	-102.95911	2.263956	-100.10377	-106.39711	-104.10903	8.092481	-81.568825	-111.08366	1000.0	1000.0	363999	-9.867489	9.377402	-1.3687884	-132.87427	-9.867427	9.377115	-1.2699232	-135.74954	9.632656	1.0643381	5775.308014631271
92	-99.39553	2.9949203	-96.53555	-104.26761	-90.547134	13.114724	-69.20663	-107.941666	1000.0	1000.0	367999	-10.20461	9.245294	-1.6836467	-128.05661	-10.204776	9.245683	-1.3436294	-129.13977	9.96189	0.9636285	5820.8016765117645
93	-91.00614	10.895432	-74.050964	-101.11988	-91.81164	10.015782	-79.163605	-102.16945	1000.0	1000.0	371999	-10.389943	8.946138	-2.8928351	-131.03331	-10.389847	8.9461155	-2.1933544	-128.85081	10.174412	0.93529415	5866.484302043915
94	-85.97856	1.7250997	-84.24908	-87.75136	-104.211136	5.36068	-88.17747	-106.47793	1000.0	1000.0	375999	-10.461186	8.738172	-2.7730894	-127.79111	-10.461065	8.741455	-2.549913	-122.22889	10.228926	0.9300443	5911.653230905533
95	-93.83169	2.6187286	-89.80884	-96.75159	-107.03328	2.1293032	-103.08363	-109.669815	1000.0	1000.0	379999	-10.485688	8.459507	-3.4483123	-122.11868	-10.485659	8.460888	-3.4755054	-120.501976	10.278807	0.87135416	5957.112185239792
96	-95.38829	4.275329	-90.419716	-99.84786	-105.87205	0.3046806	-105.368515	-106.234856	1000.0	1000.0	383999	-10.713428	8.29818	-3.2990859	-128.35298	-10.713347	8.300558	-3.4901338	-127.472275	10.503146	0.816698	6002.651116132736
97	-101.12337	2.1296227	-98.36525	-104.06503	-78.36357	5.2545633	-72.32003	-87.15683	1000.0	1000.0	387999	-10.773022	8.456366	-3.567869	-134.91281	-10.772818	8.4596615	-3.8460193	-143.04282	10.528077	0.79570276	6048.3555517196655
98	-95.81749	4.0728636	-91.34338	-102.44036	-72.564415	4.595624	-65.96307	-78.940346	1000.0	1000.0	391999	-10.749783	8.44591	-3.7703106	-136.93704	-10.74965	8.445854	-3.8873718	-138.27377	10.545549	0.8379047	6094.069904327393
99	-87.272804	5.647047	-80.0295	-95.064705	-101.50267	1.2584661	-98.62108	-103.11357	1000.0	1000.0	395999	-10.64127	8.336935	-2.5913944	-127.38047	-10.641192	8.337619	-3.604249	-126.47582	10.439102	0.78891146	6139.365310668945
100	-81.23227	8.668974	-67.87038	-90.63912	-83.68291	4.506142	-72.754326	-87.83168	1000.0	1000.0	399999	-10.669783	8.44911	-3.4520626	-122.13043	-10.669674	8.4486685	-3.2021234	-123.89594	10.468703	0.80573195	6185.983386516571
101	-82.583084	10.438448	-71.70112	-93.50707	-87.86107	4.71147	-84.071724	-100.15309	1000.0	1000.0	403999	-10.709554	8.333087	-3.4732928	-127.70488	-10.709784	8.334717	-2.5334046	-132.49068	10.498055	0.79315513	6231.812586069107
102	-90.89379	9.4151325	-74.74702	-97.651825	-75.79851	2.6254017	-72.10794	-80.228584	1000.0	1000.0	407999	-10.752257	7.9817996	-3.2797604	-131.54362	-10.752091	7.981049	-2.6453161	-131.24704	10.54506	0.8341769	6277.78350186348
